time,,gzip-pack,,matmul-p,,linpack-p,,chameleon-p,,float-operations-p,,face-detect-pigo-p,,dd,,sentimentanalysis-p,,face-detect-opencv-p,,image-process-p,,pyaes-p,,video-process-p,,CNN-p,,,,LR,,Total
0,,0,,0,,0,,0,,0,,0,,0,,0.00306,,0,,0,,0.00306,,0.00896,,0.03,,,,0.02696,,0.07204
15,,0,,0,,0,,0,,0,,0,,0,,0.00306,,0,,0,,0.00306,,0.00896,,0.03,,,,0.02696,,0.07204
30,,0,,0,,0.00406,,0,,0.00406,,0,,0,,0.00406,,0.0031262,,18.7245,,0,,0.002824,,0.02264,,,,0.02264,,18.7879102
45,,0,,0,,0.00406,,0,,0.00406,,0,,0,,0.00406,,0.0031262,,18.7245,,0,,0.002824,,0.02264,,,,0.02264,,18.7879102
60,,0.00307,,0.00307,,0,,0.00307,,0.00615,,0.00615,,4.8392,,0.00307,,48.881217,,20.9857,,0.00307,,49.01944,,29.82744,,,,0.01904,,153.599687
75,,0.00307,,0.00307,,0,,0.00307,,0.00615,,0.00615,,4.8392,,0.00307,,48.881217,,20.9857,,0.00307,,49.01944,,29.82744,,,,0.01904,,153.599687
90,,0,,0,,0.00283,,0,,0,,27.5381,,3.8417,,0,,60.754078,,19.5248,,22.8213,,47.16136,,32.73016,,,,0.0388,,214.413128
105,,0,,0,,0.00283,,0,,0,,27.5381,,3.8417,,0,,60.754078,,19.5248,,22.8213,,47.16136,,32.73016,,,,0.0388,,214.413128
120,,0,,0,,0,,0.0103,,0,,31.9024,,4.7518,,0,,52.452939,,21.6334,,23.1845,,50.00312,,29.26816,,,,67.83656,,281.043179
135,,0,,0,,0,,0.0103,,0,,31.9024,,4.7518,,0,,52.452939,,21.6334,,23.1845,,50.00312,,29.26816,,,,67.83656,,281.043179
150,,0,,0,,0,,0,,0,,29.1176,,4.0879,,0,,45.718673,,19.7462,,20.9182,,46.25136,,31.79752,,,,63.61584,,261.253293
165,,0,,0,,0,,0,,0,,29.1176,,4.0879,,0,,45.718673,,19.7462,,20.9182,,46.25136,,31.79752,,,,63.61584,,261.253293
180,,0,,0,,0,,0,,0,,33.7405,,4.9985,,11.7324,,57.195677,,20.3245,,0,,48.1516,,28.72568,,,,66.70592,,271.574777
195,,0,,0,,0,,0,,0,,33.7405,,4.9985,,9.9692,,57.195677,,20.3245,,0,,48.1516,,28.72568,,,,66.70592,,269.811577
210,,0,,0,,0,,0,,0,,25.8821,,4.1824,,9.9692,,0,,21.1492,,0,,50.75296,,30.8908,,,,62.06744,,204.8941
225,,0,,0,,0,,0,,0,,25.8821,,4.1824,,12.4128,,0,,21.1492,,0,,50.75296,,30.8908,,,,62.06744,,207.3377
240,,0,,0,,0,,0,,0,,34.6133,,4.8123,,12.4128,,0,,18.8473,,0,,45.55096,,32.98032,,,,65.38624,,214.60322
255,,0,,0,,0,,0,,0,,34.6133,,4.8123,,10.8624,,0,,18.8473,,0,,45.55096,,32.98032,,,,65.38624,,213.05282
270,,0,,0,,0,,0,,0,,26.2498,,3.9468,,10.8624,,0,,20.5924,,0,,47.898,,28.91184,,,,64.77368,,203.23492
285,,0,,0,,0,,0,,0,,26.2498,,3.9468,,11.2981,,0,,20.5924,,0,,47.898,,28.91184,,,,64.77368,,203.67062
300,,0.00869,,0,,0,,0,,0,,30.0817,,4.9735,,11.2981,,0,,19.9129,,24.3958,,49.42824,,30.36128,,,,67.38088,,237.84109
315,,0.00869,,0,,0,,0,,0,,30.0817,,4.9735,,9.8765,,45.175515,,19.9129,,24.3958,,49.42824,,30.36128,,,,67.38088,,281.595005
330,,0,,0,,0,,0,,0,,32.4519,,4.3918,,9.8765,,50.360156,,21.5683,,22.6148,,46.09184,,31.28392,,,,62.70096,,281.340176
345,,0,,0,,0,,0,,0,,32.4519,,4.3918,,12.6917,,50.360156,,21.5683,,22.6148,,46.09184,,31.28392,,,,62.70096,,284.155376
360,,0,,0,,0,,0,,0.013,,28.376,,4.5647,,12.6917,,56.324961,,18.9714,,23.2952,,50.55928,,32.38616,,,,67.12512,,294.307521
375,,0,,0,,0,,0,,0.013,,28.376,,4.5647,,10.3476,,56.324961,,18.9714,,23.2952,,50.55928,,32.38616,,,,67.12512,,291.963421
390,,0.0118,,0,,0,,0,,0,,31.2943,,3.9381,,10.3476,,63.907305,,20.8425,,21.2091,,46.65968,,31.03936,,,,63.3548,,292.604545
405,,0.0118,,0,,0,,0,,0,,31.2943,,3.9381,,11.9654,,63.907305,,20.8425,,21.2091,,46.65968,,31.03936,,,,0,,230.867545
420,,0,,0,,0,,0.0151,,0,,33.5672,,4.8417,,11.9654,,47.340909,,19.2647,,24.5456,,50.29144,,29.39928,,,,0,,221.231329
435,,0,,0,,0,,0.0151,,0,,33.5672,,4.8417,,9.6823,,47.340909,,19.2647,,24.5456,,50.29144,,29.39928,,,,0,,218.948229
450,,0,,0.0123,,0,,0,,0,,25.0119,,4.2895,,9.6823,,44.124234,,21.7121,,22.8724,,45.36736,,33.10096,,,,0,,206.173054
465,,0,,0.0123,,0,,0,,0,,25.0119,,4.2895,,12.5389,,44.124234,,21.7121,,22.8724,,45.36736,,33.10096,,,,0,,209.029654
480,,0,,0,,0,,0,,0,,29.8735,,4.7683,,12.5389,,56.101892,,19.1849,,23.7615,,48.5988,,29.99872,,,,0,,224.826512
495,,0,,0,,0,,0,,0,,29.8735,,4.7683,,10.9423,,56.101892,,19.1849,,23.7615,,48.5988,,29.99872,,,,0,,223.229912
510,,0,,0,,0,,0,,0,,27.1866,,4.0796,,10.9423,,46.927419,,20.4582,,20.6743,,47.38544,,28.6508,,,,0,,206.304659
