time,,user-memcached,,,media-memcached,,,compose-post,,,media-mongodb,,,text-service,,,home-timeline-service,,,unique-id-service,,,url-shorten-service,,,home-timeline-redis,,,user-timeline-mongodb,,,url-shorten-mongodb,,,social-graph-mongodb,,,,jaeger,,social-graph-service,,,user-service,,,url-shorten-memcached,,,user-timeline-service,,,nginx-thrift-,,,post-storage-service,,,social-graph-redis,,,user-mention-service,,,media-service-,,,,post-storage-mongodb,,,user-mongodb,,,user-timeline-redis,,,media-frontend,,post-storage-memcached,,,Total
0,,0,,,0,,,0,,,0.19792,,,0,,,0,,,0,,,0,,,0.04968,,,0.2252,,,0.2252,,,0.18,,,,0,,0,,,0.00448,,,0,,,0.0452,,,0,,,0,,,0.0452,,,0,,,0,,,,0.18,,,0.19792,,,0,,,0,,0,,,1.3508
15,,0,,,0,,,0,,,0.1644,,,0,,,0,,,0,,,0,,,0,,,0.2492,,,0.2492,,,0.1496,,,,0,,0,,,0,,,0,,,0,,,0,,,0.05,,,0,,,0,,,0,,,,0.1996,,,0.21936,,,0.05492,,,0,,0,,,1.33628
30,,0,,,0,,,0,,,0.1644,,,0,,,0,,,0,,,0,,,0,,,0.2492,,,0.2492,,,0.1496,,,,0,,0,,,0,,,0.00312,,,0,,,0,,,0.05,,,0,,,0,,,0,,,,0.1996,,,0.21936,,,0.05492,,,0,,0,,,1.3394
45,,1.928,,,0,,,75.98,,,0.27556,,,20.648,,,68.24,,,1.2412,,,6.421718,,,4.1332,,,0.2584,,,0.2584,,,0.3876,,,,0,,0,,,0,,,0.00312,,,0,,,70.4,,,0.642063717,,,0,,,12.16,,,1.164,,,,0.3876,,,6.868,,,0,,,0,,0,,,271.3968617
60,,1.928,,,0,,,75.98,,,0.27556,,,20.648,,,68.24,,,1.2412,,,5.894396,,,4.1332,,,0.2584,,,0.2584,,,0.3876,,,,0,,0,,,0,,,0.00536,,,0,,,70.4,,,0.646099307,,,0,,,12.16,,,1.164,,,,0.3876,,,6.868,,,0,,,0,,0,,,270.8758153
75,,1.642,,,0,,,75.712,,,0.1822,,,20.44,,,67.56,,,1.0948,,,5.894396,,,2.9164,,,0.3412,,,0.1704,,,0.1704,,,,0,,6.829301096,,,1.018346271,,,0.00536,,,0,,,76.4,,,0.646099307,,,0,,,16.04,,,0.852,,,,0.1704,,,10.776,,,0.1822,,,0,,0,,,289.0435027
90,,1.642,,,0,,,75.712,,,0.1822,,,20.44,,,67.56,,,1.0948,,,6.641651,,,2.9164,,,0.3412,,,0.1704,,,0.1704,,,,0,,7.746196105,,,1.062355884,,,0,,,0,,,76.4,,,0.396001654,,,0,,,16.04,,,0.852,,,,0.1704,,,10.776,,,0.1822,,,0,,0.00132,,,290.4975246
105,,2.5204,,,0,,,90.588,,,0.2802,,,31.396,,,63.64,,,1.6828,,,6.128704,,,4.2032,,,0.524,,,0.2624,,,0,,,,0,,7.746196105,,,1.062355884,,,0,,,0,,,74.4,,,0.683689674,,,0,,,25.2,,,1.312,,,,0,,,16.532,,,0,,,0,,0.000241,,,328.1621867
120,,2.5204,,,0,,,90.588,,,0.2802,,,31.396,,,63.64,,,1.6828,,,6.128704,,,4.2032,,,0.524,,,0.2624,,,0,,,,0,,5.148303974,,,0.943527372,,,0,,,0,,,74.4,,,0.683689674,,,0,,,25.2,,,1.312,,,,0,,,16.532,,,0,,,0,,0.000241,,,325.445466
135,,3.1564,,,0,,,97.108,,,0.21912,,,35.492,,,69.2,,,1.9732,,,7.493972,,,4.254,,,0.2464,,,0.2052,,,0.2052,,,,0.7004,,6.220036882,,,0.818959273,,,0,,,0.043317182,,,80,,,0.683145634,,,26.0260866,,,26.08,,,1.724,,,,0.2052,,,16.528,,,0.043984,,,0.00312,,0.000312,,,378.6300536
150,,3.1564,,,0,,,97.108,,,0.21912,,,35.492,,,69.2,,,1.9732,,,6.711832,,,4.254,,,0.2464,,,0.2052,,,0.2052,,,,0.7004,,6.220036882,,,0.818959273,,,0,,,0.042512752,,,80,,,0.68462994,,,15.47711111,,,26.08,,,1.724,,,,0.2052,,,16.528,,,0.043984,,,0.00312,,0.000312,,,367.299618
165,,2.5528,,,0,,,86.292,,,0.25956,,,27.62,,,63.6,,,1.558,,,6.711832,,,4.2696,,,0.2432,,,0.2432,,,0.2432,,,,3.8036,,8.517906214,,,0.700017903,,,0,,,0.042512752,,,77.6,,,0.68462994,,,15.47711111,,,17.32,,,1.42,,,,0.2028,,,9.776,,,0,,,0,,0.000266,,,329.1382359
180,,2.5528,,,0,,,86.292,,,0.25956,,,27.62,,,63.6,,,1.558,,,6.578652,,,4.2696,,,0.2432,,,0.2432,,,0.2432,,,,3.8036,,5.342938152,,,0.468693363,,,0.00723,,,0.049137845,,,77.6,,,0.438434628,,,23.54192758,,,17.32,,,1.42,,,,0.2028,,,9.776,,,0,,,0,,0.000266,,,333.4312396
195,,2.6148,,,0,,,87.736,,,0.2854,,,28.624,,,65.36,,,1.568,,,5.630043,,,5.7668,,,0.2228,,,0.178,,,0.2228,,,,0.7604,,5.342938152,,,0.468693363,,,0.00723,,,0.04954578,,,77.2,,,0.589129118,,,24.87848106,,,18.12,,,1.424,,,,0.2228,,,10.64,,,0.047432,,,0,,0,,,337.9592925
210,,2.6148,,,0,,,87.736,,,0.2854,,,28.624,,,65.36,,,1.568,,,5.630043,,,5.7668,,,0.2228,,,0.178,,,0.2228,,,,0.7604,,3.31331905,,,1.013280033,,,0,,,0.04954578,,,77.2,,,0.589129118,,,24.87848106,,,18.12,,,1.424,,,,0.2228,,,10.64,,,0.047432,,,0,,0,,,336.46703
225,,2.646,,,0.020064017,,,88.548,,,0.2036,,,28.94,,,71.28,,,1.6776,,,5.744158,,,7.128,,,0.1908,,,0.2384,,,0.2384,,,,0.8664,,8.982285776,,,0.669097198,,,0,,,0.049979281,,,77.6,,,0.543035352,,,17.26013834,,,16.44,,,1.476,,,,0.2384,,,8.492,,,0.050796,,,0.00301,,0,,,339.526164
240,,2.646,,,0.020064017,,,88.548,,,0.2036,,,28.94,,,71.28,,,1.6776,,,6.230758,,,7.128,,,0.1908,,,0.2384,,,0.2384,,,,0.8664,,8.982285776,,,0.669097198,,,0,,,0.044859259,,,77.6,,,0.246124236,,,16.03928454,,,16.44,,,1.476,,,,0.2384,,,8.492,,,0.050796,,,0.00301,,0,,,338.489879
255,,3.1476,,,0.020484694,,,96.256,,,0.27628,,,34.508,,,68.32,,,1.9344,,,6.230758,,,8.884,,,0.2588,,,0.2068,,,0.2588,,,,7.344,,8.040241711,,,0.36643579,,,0,,,0.044859259,,,79.2,,,0.246124236,,,16.03928454,,,18.92,,,1.76,,,,0.2588,,,9.736,,,0,,,0,,0,,,362.2576682
270,,3.1476,,,0.020484694,,,96.256,,,0.27628,,,34.508,,,68.32,,,1.9344,,,6.002575,,,8.884,,,0.2588,,,0.2068,,,0.2588,,,,7.344,,4.864744388,,,0.559521112,,,0,,,0.046563907,,,79.2,,,0.42515946,,,22.49478339,,,18.92,,,1.76,,,,0.2588,,,9.736,,,0,,,0,,0,,,365.683312
285,,2.7696,,,0.020016305,,,90.744,,,0.28852,,,31.076,,,68.8,,,1.7312,,,5.568469,,,4.8308,,,0.27,,,0.27,,,0.27,,,,1.0944,,4.864744388,,,0.559521112,,,0,,,0.049032501,,,74,,,0.605428626,,,24.12877288,,,19.48,,,1.564,,,,0.216,,,11.24,,,0,,,0,,0.000719,,,344.4412238
300,,2.7696,,,0.020016305,,,90.744,,,0.28852,,,31.076,,,68.8,,,1.7312,,,5.568469,,,4.8308,,,0.27,,,0.27,,,0.27,,,,1.0944,,3.506925967,,,1.066433761,,,0,,,0.049032501,,,74,,,0.605428626,,,24.12877288,,,19.48,,,1.564,,,,0.216,,,11.24,,,0,,,0,,0.000719,,,343.590318
315,,2.9856,,,0.020776109,,,93.272,,,0.19904,,,33.228,,,68.76,,,1.858,,,6.547048,,,4.1772,,,0.2484,,,0.1864,,,0.1864,,,,0.8628,,6.524882519,,,1.015701789,,,0,,,0.05006008,,,78,,,0.376378941,,,14.93107433,,,20.36,,,1.676,,,,0.2484,,,11.192,,,0.0662,,,0,,0.0012,,,346.9735618
330,,2.9856,,,0,,,93.272,,,0.19904,,,33.228,,,68.76,,,1.858,,,6.44271,,,4.1772,,,0.2484,,,0.1864,,,0.1864,,,,0.8628,,6.524882519,,,1.015701789,,,0.00166,,,0.051091333,,,78,,,0.493143576,,,20.28982713,,,20.36,,,1.676,,,,0.2484,,,11.192,,,0.0662,,,0,,0.0012,,,352.3266563
345,,1.958,,,0,,,78.312,,,0.1958,,,22.488,,,67.12,,,1.3684,,,6.43851,,,6.84,,,0.1832,,,0.1832,,,0.366,,,,0,,7.399000704,,,1.05424495,,,0.00166,,,0.051091333,,,73.6,,,0.493143576,,,20.28982713,,,14.08,,,1.28,,,,0,,,7.612,,,0.1958,,,0.00748,,0,,,311.5173577
360,,1.958,,,0,,,78.312,,,0.1958,,,22.488,,,67.12,,,1.3684,,,6.441113,,,6.84,,,0.1832,,,0.1832,,,0.366,,,,0,,5.97674323,,,0.735805458,,,0,,,0.050275707,,,73.6,,,0.214701407,,,22.23594046,,,14.08,,,1.28,,,,0,,,7.612,,,0.1958,,,0.00748,,0,,,311.4444593
375,,2.2208,,,0,,,85.2,,,0.27764,,,27.464,,,60.64,,,1.388,,,6.10174,,,4.1644,,,0,,,0.26,,,0,,,,0,,5.97674323,,,0.735805458,,,0,,,0.046247276,,,77.2,,,0.212721051,,,20.89446532,,,16.88,,,1.3,,,,0.26,,,9.996,,,0.27764,,,0,,0,,,321.4962023
390,,2.2208,,,0,,,85.2,,,0.27764,,,27.464,,,60.64,,,1.388,,,6.10174,,,4.1644,,,0,,,0.26,,,0,,,,0,,8.267021941,,,0.304211097,,,0,,,0.046247276,,,77.2,,,0.212721051,,,20.89446532,,,16.88,,,1.3,,,,0.26,,,9.996,,,0.27764,,,0,,0,,,323.3548867
405,,2.9824,,,0,,,93.288,,,0.2192,,,32.856,,,71.36,,,1.8416,,,6.111867,,,4.1232,,,0.2464,,,0.2464,,,0.2052,,,,0.61516,,6.546911378,,,0.887918366,,,0,,,0.051588151,,,78.4,,,0.535394419,,,30.74507983,,,18.96,,,1.684,,,,0.2052,,,9.956,,,0.044,,,0,,0,,,362.1115191
420,,2.9824,,,0,,,93.288,,,0.2192,,,32.856,,,71.36,,,1.8416,,,7.447551,,,4.1232,,,0.2464,,,0.2464,,,0.2052,,,,0.61516,,6.546911378,,,0.887918366,,,0.0017,,,0.048780672,,,78.4,,,0.536504276,,,25.66772449,,,18.96,,,1.684,,,,0.2052,,,9.956,,,0.044,,,0,,0,,,358.3698502
435,,2.9712,,,0,,,92.468,,,0.26208,,,32.364,,,69.28,,,1.834,,,7.450363,,,4.4468,,,0.2452,,,0.2044,,,0.2044,,,,0.56856,,6.94185421,,,0.915337778,,,0.0017,,,0.048780672,,,80,,,0.536504276,,,25.66772449,,,18.4,,,1.636,,,,0.2452,,,9.788,,,0.043612,,,0,,0.000165,,,356.5238814
450,,2.9712,,,0,,,92.468,,,0.26208,,,32.364,,,69.28,,,1.834,,,6.995473,,,4.4468,,,0.2452,,,0.2044,,,0.2044,,,,0.56856,,8.924625013,,,1.019615273,,,0,,,0.044696269,,,80,,,0.498603949,,,15.10696299,,,18.4,,,1.636,,,,0.2452,,,9.788,,,0.043612,,,0,,0.000165,,,347.5515935
465,,2.5212,,,0,,,86.928,,,0.23332,,,28.672,,,72.64,,,1.5384,,,7.199462,,,6.1108,,,0.2184,,,0.3056,,,0.262,,,,0.7476,,8.924625013,,,1.019615273,,,0,,,0.042142259,,,75.2,,,0.427652436,,,17.43463943,,,17.2,,,1.44,,,,0.1748,,,9.828,,,0,,,0.00232,,0.000115,,,339.0706914
480,,2.5212,,,0,,,86.928,,,0.23332,,,28.672,,,72.64,,,1.5384,,,7.199462,,,6.1108,,,0.2184,,,0.3056,,,0.262,,,,0.7476,,8.818183161,,,0.45407098,,,0,,,0.042142259,,,75.2,,,0.427652436,,,17.43463943,,,17.2,,,1.44,,,,0.1748,,,9.828,,,0,,,0.00232,,0.000115,,,338.3987053
495,,2.8108,,,0,,,91.132,,,0.25584,,,31.224,,,73.04,,,1.6872,,,5.732959,,,7.092,,,0.2396,,,0.1916,,,0.1916,,,,0.7176,,5.860221843,,,0.733032948,,,0,,,0.047382039,,,78.8,,,0.238392397,,,29.23645962,,,23.96,,,1.58,,,,0.1916,,,15.38,,,0,,,0.00173,,0.000343,,,370.3443608
510,,2.8108,,,0,,,91.132,,,0.25584,,,31.224,,,73.04,,,1.6872,,,7.009494,,,7.092,,,0.2396,,,0.1916,,,0.1916,,,,0.7176,,5.860221843,,,0.733032948,,,0.00292,,,0.051049302,,,78.8,,,0.220286566,,,24.75382231,,,23.96,,,1.58,,,,0.1916,,,15.38,,,0,,,0.00173,,0.000343,,,367.12674
525,,2.074,,,0,,,79.624,,,0.21252,,,22.748,,,69.16,,,1.276,,,7.012826,,,5.25,,,0.2492,,,0.2492,,,0.1992,,,,0.7428,,3.34356215,,,0.65413729,,,0.00292,,,0.051049302,,,74.8,,,0.220286566,,,24.75382231,,,17,,,1.144,,,,0.2988,,,10.84,,,0.053332,,,0.0017,,0.000336,,,321.9616916
540,,2.074,,,0,,,79.624,,,0.21252,,,22.748,,,69.16,,,1.276,,,5.892722,,,5.25,,,0.2492,,,0.2492,,,0.1992,,,,0.7428,,5.574926798,,,0.647806298,,,0.00215,,,0.044979358,,,74.8,,,0.364293512,,,31.80402229,,,17,,,1.144,,,,0.2988,,,10.84,,,0.053332,,,0.0017,,0.000336,,,330.2539883
555,,2.94,,,0,,,92.456,,,0.23544,,,32.432,,,69.24,,,1.8248,,,5.723793,,,4.8724,,,0.2204,,,0.2204,,,0.2752,,,,0.8844,,5.574926798,,,0.647806298,,,0.00215,,,0.046398937,,,78,,,0.409970412,,,23.02067803,,,21.76,,,1.596,,,,0.1652,,,13.12,,,0.05896,,,0,,0.000168,,,355.7270915
570,,2.94,,,0,,,92.456,,,0.23544,,,32.432,,,69.24,,,1.8248,,,5.723793,,,4.8724,,,0.2204,,,0.2204,,,0.2752,,,,0.8844,,6.763478968,,,0.904548206,,,0.00603,,,0.046398937,,,78,,,0.409970412,,,23.02067803,,,21.76,,,1.596,,,,0.1652,,,13.12,,,0.05896,,,0,,0.000168,,,357.1762656
585,,3.4652,,,0,,,100.552,,,0.2038,,,39.012,,,70.52,,,2.1748,,,6.59475,,,5.8532,,,0.318,,,0.1908,,,0.1908,,,,0.8844,,7.033050524,,,0.886291192,,,0.00603,,,0.045139607,,,63.2,,,0.616654161,,,29.19338645,,,23.92,,,1.908,,,,0.1908,,,14.528,,,0,,,0,,0.00018,,,371.4872819
